I-FGSM-8/255-5: inception_v3_norm: AR = 1.21 , ACC = 0.93, AM = 0.00
I-FGSM-8/255-10: inception_v3_norm: AR = 0.13 , ACC = 0.10, AM = 0.00
FGSM-2/255: inception_v4_norm: AR = 37.51 , ACC = 28.83, AM = 0.03
FGSM-4/255: inception_v4_norm: AR = 35.68 , ACC = 27.42, AM = 0.04
FGSM-8/255: inception_v4_norm: AR = 35.65 , ACC = 27.43, AM = 0.17
I-FGSM-2/255-5: inception_v4_norm: AR = 4.90 , ACC = 3.76, AM = 0.00
I-FGSM-2/255-10: inception_v4_norm: AR = 1.40 , ACC = 1.08, AM = 0.00
I-FGSM-4/255-5: inception_v4_norm: AR = 3.12 , ACC = 2.40, AM = 0.00
I-FGSM-4/255-10: inception_v4_norm: AR = 0.41 , ACC = 0.31, AM = 0.00
I-FGSM-8/255-5: inception_v4_norm: AR = 3.02 , ACC = 2.32, AM = 0.00
I-FGSM-8/255-10: inception_v4_norm: AR = 0.29 , ACC = 0.23, AM = 0.00
CW: resnet50_norm: AR = 38.67 , ACC = 30.80, AM = 0.00
CW: resnet101_norm: AR = 59.01 , ACC = 48.14, AM = 0.00
CW: densenet169_norm: AR = 11.86 , ACC = 8.76, AM = 0.00
CW: efficientnet_b4_norm: AR = 29.01 , ACC = 22.62, AM = 0.00
CW: vit_base_patch16_224_norm: AR = 33.51 , ACC = 25.50, AM = 0.00
CW: inception_v3_norm: AR = 23.86 , ACC = 18.18, AM = 0.00
CW: inception_v4_norm: AR = 31.37 , ACC = 24.12, AM = 0.00

